"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Regression","0","Content","56","0","ImageLoad","0"
"0","Regression","0","Pages","0","8","drug-owners-developers","0"
"0","Regression","0","Navigation","56","0","HeaderLinks","0"
"0","Regression","0","Accessibility","56","0","BaselineA11y","0"
"0","Regression","0","Responsive","0","32","MobileLayout","0"
"0","Regression","40","SeoMeta","0","16","MetadataContract","0"
"0","Regression","0","Navigation","56","0","FooterLinks","0"
"0","Regression","0","Pages","8","0","about-us","0"
"0","Regression","0","Pages","8","0","home","0"
"0","Platform","0","Smoke","2","0","RootReachability","0"
"0","Regression","0","Pages","8","0","isotope-producers-radiopharmacies","0"
"0","Regression","0","Forms","8","0","SafeSubmission","0"
"0","Regression","0","Links","8","0","AnchorIntegrity","0"
"0","Regression","0","Pages","8","0","hospitals-clinical-sites","0"
"0","Regression","0","Links","8","0","ExternalLinkAttributes","0"
"0","Authentication","0","Login","0","2","CredentialEntry","0"
"0","Regression","0","Pages","0","8","solutions","0"
"0","Regression","0","Links","8","0","ExternalResolution","0"
"0","Regression","0","Navigation","8","0","LogoNavigation","0"
"0","Regression","0","Forms","8","0","RequiredValidation","0"
"0","Regression","0","Links","8","0","InternalRoutes","0"
"0","Regression","0","Forms","8","0","InvalidInputHandling","0"
"0","Regression","0","Pages","8","0","contact-us","0"
